턴,AI 답변,사용자 메세지,Target
11,,테스트 후 인터뷰에서는 어떤 질문을 하면 좋을까? 사용자가 불편했던 순간을 잘 떠올리게 하고 싶어.,
12,"인터뷰는 **전체 만족도부터 묻기보다, 방금 수행한 과제를 다시 떠올리게 하는 방식**이 좋아요. 그래야 막연한 의견보다 실제 불편 순간이 잘 나옵니다.

## 추천 질문 흐름

| 단계          | 질문 예시                               | 목적             |
| ----------- | ----------------------------------- | -------------- |
| 1. 회상 유도    | “방금 과제 중 가장 멈칫했던 순간이 있었나요?”         | 불편 순간 찾기       |
| 2. 구체화      | “그때 어떤 정보를 찾고 있었나요?”                | 문제 맥락 확인       |
| 3. 원인 탐색    | “무엇 때문에 다음 행동을 결정하기 어려웠나요?”         | UI/정보 구조 원인 파악 |
| 4. 관람 맥락 연결 | “이 상황이 실제 전시장이라면 관람에 방해가 됐을 것 같나요?” | 실제 사용 영향 확인    |
| 5. 비교 질문    | “오디오를 듣는 흐름에서 끊겼다고 느낀 순간이 있었나요?”    | 청취 흐름 문제 확인    |
| 6. 개선 방향    | “그 순간 앱이 어떻게 안내해줬다면 더 쉬웠을까요?”       | 개선 아이디어 수집     |

## 바로 쓰기 좋은 질문

* “가장 헷갈렸던 화면이나 순간은 어디였나요?”
* “오디오 설명을 찾는 과정에서 예상과 달랐던 점이 있었나요?”
* “설명을 듣는 중에 놓쳤거나 다시 확인하고 싶었던 부분이 있었나요?”
* “다음 작품으로 이동할 때 충분히 안내받고 있다고 느꼈나요?”
* “화면을 보느라 작품 감상이 방해된다고 느낀 순간이 있었나요?”
* “실제 박물관에서 이 앱을 쓴다면 가장 불편할 것 같은 점은 무엇인가요?”
* “반대로, 관람 흐름에 도움이 된 부분은 무엇이었나요?”

## 좋은 후속 질문

사용자가 “헷갈렸어요”라고 말하면 바로 이렇게 물어보세요.

> “어떤 버튼이나 정보가 헷갈렸나요?”
> “그때 원래 기대한 화면은 무엇이었나요?”
> “그 순간 다시 시도한다면 어디를 먼저 눌렀을 것 같나요?”

핵심은 **“어땠나요?”보다 “어느 순간에, 무엇을 하려다가, 왜 막혔나요?”**로 묻는 것입니다.
",,
13,,결과를 해석할 때 “이 리디자인이 더 좋다”고 단정하지 않으려면 어떤 표현을 써야 할까?,
14,"단정적으로 **“더 좋다 / 효과가 있다 / 개선되었다”**라고 쓰기보다, **관찰된 범위 안에서 어떤 가능성이 보였는지**로 표현하면 안전합니다.

## 안전한 표현

| 강한 표현               | 더 적절한 표현                                    |
| ------------------- | ------------------------------------------- |
| 리디자인이 사용성을 향상시켰다    | 리디자인안에서 일부 사용성 개선 가능성이 관찰되었다                |
| 사용자가 더 쉽게 사용할 수 있었다 | 일부 과업에서 사용자의 탐색 부담이 줄어드는 경향이 나타났다           |
| 기존 앱보다 좋다           | 기존 문제로 지적된 요소가 일부 완화될 가능성을 보였다              |
| 사용자가 만족했다           | 참가자들은 특정 기능에 대해 긍정적으로 평가했다                  |
| 이 디자인이 효과적이다        | 본 테스트 범위에서는 해당 디자인 요소가 과업 수행을 도울 수 있음을 시사한다 |
| 문제가 해결되었다           | 일부 문제는 줄어든 것으로 보이나, 추가 검증이 필요하다             |

## 보고서 문장 예시

> 본 사용성 평가는 소규모 참가자를 대상으로 한 형성평가이므로, 리디자인안의 효과를 일반화하기보다는 주요 사용성 문제와 개선 가능성을 탐색하는 데 초점을 두었다.

> 테스트 결과, 참가자들은 작품 오디오 찾기와 재생 과정에서 비교적 원활하게 과업을 수행했으나, 다음 작품 이동과 이어듣기 과정에서는 여전히 혼란이 관찰되었다.

> 따라서 본 리디자인안은 일부 핵심 과업에서 사용자의 탐색 부담을 줄일 가능성을 보였지만, 관람 동선 안내와 청취 흐름 유지 측면에서는 추가 개선이 필요하다.

## 가장 무난한 결론 표현

> 본 테스트 결과는 리디자인안이 전반적으로 우수하다는 결론보다는, 특정 기능에서 사용성 개선 가능성이 있으며 동시에 보완이 필요한 지점이 남아 있음을 보여준다.",,
15,,,
16,,,
17,,,
18,,,
19,,,
20,,,
21,,,
22,,,
23,,,
24,,,
25,,,
26,,,
27,,,
28,,,
29,,,
30,,,
31,,,
32,,,
33,,,
34,,,
35,,,
36,,,
37,,,
38,,,
