턴,AI 답변,사용자 메세지,Target
11,,수업 프로젝트 수준에서 이 주제를 다룬다면 가장 조심해야 할 한계는 뭐야?,
12,"수업 프로젝트 수준에서 가장 조심해야 할 한계는 **“AI 도구가 어휘 습득을 향상시켰다”라고 강하게 결론 내리기 어렵다는 점**이야. 특히 아래를 조심해야 해.

| 한계                           | 왜 문제인가                                      | 보고서에서의 처리                                                |
| ---------------------------- | ------------------------------------------- | -------------------------------------------------------- |
| **참가자 수 부족**                 | 표본이 작으면 결과가 우연인지 실제 효과인지 판단하기 어려움           | p-value보다 평균 변화, 효과크기, 질적 반응을 함께 제시                      |
| **짧은 실험 기간**                 | 단어를 잠깐 외운 것인지 장기 습득인지 구분하기 어려움              | “short-term vocabulary gain” 또는 “immediate recall”로 표현   |
| **통제집단 설정 어려움**              | AI 사용 효과인지, 단순히 더 오래 공부해서 생긴 효과인지 불분명함      | 학습 시간, 단어 수, 과제 난이도를 최대한 맞춤                              |
| **도구 효과와 novelty effect 혼동** | AI가 새로워서 더 열심히 한 것일 수 있음                    | 사용 흥미와 실제 점수를 분리해서 해석                                    |
| **어휘 능력 측정의 제한**             | 단어 뜻 맞히기만 보면 실제 사용 능력을 알기 어려움               | receptive vocabulary와 productive vocabulary를 구분          |
| **AI 피드백 품질 변동**             | 같은 단어라도 AI가 제공하는 예문·설명이 매번 달라질 수 있음         | 프롬프트나 학습 절차를 고정하고 기록                                     |
| **학습자 수준 차이**                | 초급자와 중급자는 AI 도움을 받는 방식이 다를 수 있음             | 사전 수준을 확인하고 결과 해석에 반영                                    |
| **일반화의 어려움**                 | 한 수업, 한 도구, 소수 참가자 결과를 전체 외국어 학습자로 확대하기 어려움 | “exploratory study” 또는 “small-scale classroom study”로 한정 |

가장 핵심은 이거야.

> 이 프로젝트는 AI 어휘 학습 도구의 효과를 확정적으로 증명하기보다, **소규모 학습 상황에서 AI 피드백과 예문 제공이 어휘 이해·기억·사용 경험에 어떤 가능성과 제한을 보이는지 탐색하는 연구**로 잡는 게 안전하다.

보고서에서는 이렇게 쓰면 자연스러워.

> Due to the small sample size and short intervention period, the findings should be interpreted as exploratory rather than conclusive. The study focuses on short-term changes in vocabulary learning and learner perceptions, rather than making strong claims about long-term vocabulary acquisition.
",,
13,,마지막으로 이 주제의 problem statement를 한 문단으로 정리해줘.,
14,"AI 기반 어휘 학습 도구는 개인화 피드백, 예문 생성, 반복 학습, 대화형 연습 등을 통해 외국어 학습자의 단어 학습을 지원할 수 있는 가능성을 보여준다. 그러나 기존 연구는 주로 AI 도구 사용 여부에 따른 학습 효과를 비교하는 데 집중해 왔으며, 어떤 AI 기능이 단어의 의미 이해, 장기 기억, 실제 사용 능력에 각각 어떻게 기여하는지는 충분히 구분해 설명하지 못했다. 또한 많은 연구가 짧은 기간의 사전-사후 점수 변화에 의존하기 때문에, 학습자가 단어를 일시적으로 기억한 것인지 실제로 활용 가능한 어휘 지식으로 습득한 것인지 판단하기 어렵다. 따라서 본 연구는 AI 기반 어휘 학습 도구가 외국어 학습자의 receptive vocabulary, productive vocabulary, retention에 미치는 영향을 탐색하고, AI 피드백과 문맥 기반 예문 제공이 어휘 습득 과정에서 어떤 가능성과 한계를 가지는지 검토하고자 한다.
",,
15,,,
16,,,
17,,,
18,,,
19,,,
20,,,
21,,,
22,,,
23,,,
24,,,
25,,,
26,,,
27,,,
28,,,
29,,,
30,,,
31,,,
32,,,
33,,,
34,,,
35,,,
36,,,
37,,,
38,,,
