턴,AI 답변,사용자 메세지,Target
11,,이 목차에서 시간이 부족하면 어떤 부분을 줄이는 게 좋을까?,
12,"시간이 부족하면 **리서치 방법 설명**과 **개별 기능 설명**을 줄이는 게 좋습니다. 대신 **문제 정의, 핵심 인사이트, Before & After, 결론**은 남겨야 합니다.

## 꼭 남길 부분

| 유지             | 이유                       |
| -------------- | ------------------------ |
| 문제 정의          | 왜 리디자인이 필요한지 설득하는 핵심     |
| 주요 리서치 발견      | 디자인이 임의가 아니라 근거 기반임을 보여줌 |
| 핵심 인사이트        | 문제와 해결안을 연결하는 다리         |
| Before & After | 개선점을 가장 빠르게 이해시킴         |
| 결론             | 프로젝트의 방향성을 정리            |

## 줄여도 되는 부분

| 줄일 부분       | 줄이는 방식                                  |
| ----------- | --------------------------------------- |
| 리서치 방법      | “인터뷰와 사용 관찰을 통해 확인했다” 정도로 1장 또는 한 문장 처리 |
| 사용자 맥락      | 문제 정의 슬라이드에 합치기                         |
| 디자인 목표      | 핵심 인사이트와 합치기                            |
| 개선안 1, 2, 3 | 각각 따로 길게 설명하지 말고 한 장에 묶기                |
| 사용자 시나리오    | 시간이 없으면 생략하거나 Before & After에 포함        |

## 7장 압축안

| 슬라이드 | 제목             | 핵심 메시지                               |
| ---- | -------------- | ------------------------------------ |
| 1    | 프로젝트 소개        | 박물관 오디오 가이드 앱의 관람 경험을 개선한다.          |
| 2    | 문제 정의          | 앱 조작과 탐색 과정이 작품 감상 흐름을 방해한다.         |
| 3    | 리서치 발견         | 작품 찾기, 재생, 다시 찾기 과정에서 불편이 나타났다.      |
| 4    | 핵심 인사이트        | 사용자는 앱을 오래 쓰기보다 작품에 더 집중하고 싶어 한다.    |
| 5    | 리디자인 방향        | 빠르게 시작하고, 화면을 덜 보고, 관람 후에도 이어지게 한다.  |
| 6    | Before & After | 개선 전에는 앱 조작 중심, 개선 후에는 작품 감상 중심이다.   |
| 7    | 기대 효과와 결론      | 탐색 부담을 줄이고 작품 몰입을 높이는 오디오 가이드로 개선했다. |

가장 먼저 줄일 것은 **리서치 방법의 세부 설명**, 그다음은 **사용자 시나리오**, 마지막은 **개별 기능 설명 분량**입니다.",,
13,,발표에서 교수님이나 청중이 가장 궁금해할 부분은 뭐라고 생각해?,
14,"가장 궁금해할 부분은 **“왜 이 개선안이 실제 사용자 문제를 해결한다고 볼 수 있는가?”**일 가능성이 큽니다.

특히 아래 질문들이 나올 수 있습니다.

| 청중이 궁금해할 점           | 발표에서 미리 보여줄 내용                                |
| -------------------- | --------------------------------------------- |
| 문제가 정말 중요한가?         | 사용자 관찰, 인터뷰 인용, 불편 사례                         |
| 왜 이 기능이 해결책인가?       | 문제와 기능을 1:1로 연결                               |
| 기존 앱과 무엇이 다른가?       | Before & After 비교                             |
| 기능이 많아져서 더 복잡해지지 않나? | “앱 사용을 늘리는 것이 아니라 조작을 줄이는 방향”이라고 설명           |
| 실제로 몰입이 좋아졌는가?       | 사용 시간 감소, 재생 시작까지 걸린 시간, 화면 확인 횟수 같은 평가 지표 제안 |
| 박물관 환경에서 현실적으로 가능한가? | QR, 전시실별 목록처럼 구현 난이도가 낮은 방안부터 제시              |

발표에서 가장 방어해야 할 포인트는 이것입니다.

> **이 리디자인은 단순히 기능을 추가한 것이 아니라, 관람자가 작품 앞에서 앱을 덜 조작하고 더 빨리 감상에 들어가도록 만든 것이다.**

그래서 발표에는 꼭 **문제 → 근거 → 개선안 → 기대 효과** 연결을 명확히 보여주는 게 좋습니다.
",,
15,,마지막에 이 프로젝트의 의의를 너무 과장하지 않고 말하려면 어떻게 정리하면 좋을까?,
16,"마지막 의의는 **“혁신”보다 “관람 흐름의 작은 방해를 줄였다”** 쪽으로 말하면 과장되지 않습니다.

추천 문장:

> **이 프로젝트는 오디오 가이드 앱을 완전히 새롭게 만드는 것이 아니라, 관람자가 작품 앞에서 겪는 탐색과 조작의 부담을 줄여 감상 흐름을 더 자연스럽게 만드는 데 의의가 있다.**

조금 더 발표용으로 다듬으면:

> **이번 리디자인은 박물관 관람 경험 전체를 바꾸는 해결책이라기보다, 오디오를 듣기 전후의 작은 불편을 줄여 관람자가 작품에 더 집중할 수 있도록 돕는 개선안이다.**

더 담백하게 말하면:

> **핵심은 앱을 더 많이 쓰게 하는 것이 아니라, 앱 때문에 감상이 끊기지 않도록 하는 것이다.**

결론 슬라이드에는 이렇게 정리하면 좋습니다.

> **작은 조작 부담을 줄이는 것만으로도 관람자는 화면보다 작품에 더 오래 머무를 수 있다. 이 프로젝트는 그 가능성을 사용자 리서치와 리디자인으로 구체화했다.**",,
17,,,
18,,,
19,,,
20,,,
21,,,
22,,,
23,,,
24,,,
25,,,
26,,,
27,,,
28,,,
29,,,
30,,,
31,,,
32,,,
33,,,
34,,,
35,,,
36,,,
37,,,
38,,,
