턴,AI 답변,사용자 메세지,Target
11,,수업 프로젝트 수준이라면 결과를 어디까지 해석하는 게 안전할까?,
12,"수업 프로젝트 수준이면 **“효과를 입증했다”보다 “변화 양상을 탐색했다”** 정도로 해석하는 게 안전해.

가장 안전한 해석 범위는 이거야.

> 생성형 AI 피드백을 받은 뒤 학생들의 수정 행동에서 어떤 변화가 나타났는지 관찰했다.

말할 수 있는 것:

| 가능        | 표현 예시                                 |
| --------- | ------------------------------------- |
| 수정 횟수 변화  | AI 피드백 이후 수정 횟수가 증가/감소하는 경향이 있었다      |
| 수정 유형 변화  | 표면적 수정보다 내용·구조 수정이 더 많이/적게 나타났다       |
| 피드백 수용 양상 | 학생들이 AI 제안 중 일부를 선택적으로 반영했다           |
| 인식 변화     | 일부 학생은 AI 피드백을 유용하게 느꼈지만, 일반적이라고 평가했다 |

조심해야 할 표현:

| 피해야 함                 | 이유                    |
| --------------------- | --------------------- |
| AI 피드백이 글쓰기 능력을 향상시켰다 | 장기적 능력 변화는 측정하지 않음    |
| AI 피드백이 더 효과적이다       | 비교집단·통제조건이 약하면 단정 어려움 |
| 학생 전체에 일반화 가능하다       | 표본 수와 편의표집 한계         |
| AI가 글쓰기 실력을 높인다       | 결과물 품질과 과정 변화를 구분해야 함 |

보고서에는 이렇게 쓰면 무난하다.

> 본 연구는 생성형 AI 피드백이 학생의 글쓰기 능력을 향상시키는지를 검증하기보다, AI 피드백 이후 초안과 수정본 사이에서 나타나는 수정 행동의 양상을 탐색하는 데 목적이 있다. 따라서 결과는 인과적 효과나 일반화 가능한 결론보다는, 특정 수업 과제 맥락에서 관찰된 수정 패턴으로 해석할 필요가 있다.

핵심은 **“능력 향상”이 아니라 “수정 행동 변화”**, **“검증”이 아니라 “탐색”**으로 쓰는 거야.
",,
13,,통계적으로 크게 말하기보다 관찰 중심으로 해석한다면 어떤 표현이 적절할까?,
14,"적절한 방향은 **“효과가 있었다”보다 “이런 양상이 관찰되었다”**로 쓰는 거야.

예시 표현:

| 강한 표현                | 관찰 중심 표현                                   |
| -------------------- | ------------------------------------------ |
| AI 피드백은 수정 행동을 증가시켰다 | AI 피드백 이후 수정 횟수가 늘어나는 양상이 관찰되었다            |
| AI 피드백이 글쓰기 질을 향상시켰다 | 일부 글에서 주장 보완, 근거 추가와 같은 내용 수정이 나타났다        |
| AI 피드백이 효과적이었다       | 참가자들은 AI 피드백을 수정 방향을 잡는 데 참고한 것으로 보인다      |
| AI 피드백이 부담을 줄였다      | 일부 참가자는 AI 피드백이 수정 부담을 낮추는 데 도움이 되었다고 응답했다 |
| AI 피드백이 더 우수하다       | 본 연구에서는 AI 피드백 이후 나타난 수정 양상을 중심으로 살펴보았다    |

보고서 문장으로는 이렇게 쓸 수 있어.

> 분석 결과, 생성형 AI 피드백 이후 참가자들의 글에서 표현 수정뿐 아니라 근거 추가, 주장 명료화와 같은 내용·구조적 수정이 일부 관찰되었다. 이는 AI 피드백이 글쓰기 결과를 직접적으로 향상시켰다고 단정하기보다는, 학생들이 수정 방향을 탐색하는 과정에서 참고 자료로 활용되었을 가능성을 보여준다.

더 짧게 쓰면:

> 본 연구에서는 AI 피드백 이후 학생들의 수정 행동에서 나타난 변화 양상을 관찰하였다. 결과는 인과적 효과보다는 특정 과제 맥락에서의 수정 패턴으로 해석할 필요가 있다.
",,
15,,,
16,,,
17,,,
18,,,
19,,,
20,,,
21,,,
22,,,
23,,,
24,,,
25,,,
26,,,
27,,,
28,,,
29,,,
30,,,
31,,,
32,,,
33,,,
34,,,
35,,,
36,,,
37,,,
38,,,
