턴,AI 답변,사용자 메세지,Target
16,"결과 해석 섹션은 **“양적 결과 → 질적 결과 → 통합 해석 → 한계”** 흐름이 가장 안정적입니다.

### 1. 집단 간 수정 행동 차이

먼저 AI 피드백 그룹과 일반 피드백 그룹의 **수정 횟수 차이**를 제시합니다.

> AI 피드백 그룹은 일반 피드백 그룹에 비해 수정 횟수가 더 높은 경향을 보였다. 이는 생성형 AI 피드백이 학습자의 수정 행동을 촉진했을 가능성을 시사한다. 다만 표본 수가 제한적이므로, 이 결과는 확정적 효과라기보다 탐색적 경향으로 해석할 필요가 있다.

### 2. 수정의 질적 수준 해석

다음으로 단순 수정 횟수가 아니라 **revision quality**를 연결합니다.

> 수정 횟수의 증가는 글쓰기 개선을 자동으로 의미하지 않는다. 따라서 본 연구에서는 수정의 질적 수준을 함께 검토하였다. AI 피드백 그룹에서 내용 보완, 논리 구조 개선, 주장 명료화와 같은 심층 수정이 더 많이 나타났다면, 이는 AI 피드백이 단순한 표면 수정이 아니라 글의 의미 구성 과정에 영향을 주었을 가능성을 보여준다.

### 3. 통계 결과와 effect size 해석

그다음 p-value와 effect size를 조심스럽게 해석합니다.

> 통계적 유의성이 확보되지 않았더라도, 효과크기가 중간 이상으로 나타났다면 집단 간 차이의 실질적 가능성을 고려할 수 있다. 특히 소표본 수업 프로젝트에서는 p-value만으로 효과 유무를 판단하기보다, 차이의 방향, 효과크기, 분포, 개별 학습자의 변화 패턴을 종합적으로 해석하는 것이 적절하다.

### 4. NASA-TLX와 수정 부담 연결

이후 주관적 부담 지표를 붙입니다.

> NASA-TLX 결과는 생성형 AI 피드백이 학습자에게 어떤 부담으로 경험되었는지를 설명하는 데 활용될 수 있다. AI 피드백 그룹의 수정 행동이나 수정 질이 높게 나타났더라도 NASA-TLX 점수가 함께 높았다면, 이는 AI 피드백을 이해하고 선택적으로 반영하는 과정에서 추가적인 인지 부담이 발생했을 가능성을 의미한다. 반대로 NASA-TLX가 낮았다면, AI 피드백이 수정 방향을 명료화하여 부담을 줄였을 가능성이 있다.

### 5. 인터뷰 결과와 통합 해석

마지막으로 “편했지만 일반적이었다”는 반응을 정량 결과와 연결합니다.

> 인터뷰에서 나타난 “AI 피드백은 편했지만 너무 일반적이었다”는 반응은 정량 결과를 해석하는 보조 근거가 된다. 예를 들어 AI 피드백 그룹의 수정 횟수는 증가했지만 revision quality 향상이 제한적이었다면, 이는 AI 피드백이 수정의 진입장벽은 낮췄으나 구체적이고 맥락화된 심층 수정까지 충분히 유도하지 못했을 가능성을 설명한다.

### 6. 종합 결론 문단

끝은 단정하지 않고 탐색적으로 마무리합니다.

> 종합하면, 생성형 AI 피드백은 학습자의 수정 행동을 촉진하고 일부 질적 개선을 유도할 가능성이 있다. 그러나 그 효과는 단순히 수정 횟수의 증가로만 판단하기 어렵고, 수정의 깊이, 학습자가 지각한 부담, 피드백의 구체성에 따라 달라질 수 있다. 따라서 본 연구의 결과는 생성형 AI 피드백이 글쓰기 수정 과정에서 유용한 지원 도구가 될 수 있음을 시사하지만, 소표본 수업 프로젝트의 특성을 고려하여 탐색적 발견으로 해석할 필요가 있다.",,
17,,,
18,,,
19,,,
20,,,
21,,,
22,,,
23,,,
24,,,
25,,,
26,,,
27,,,
28,,,
29,,,
30,,,
31,,,
32,,,
33,,,
34,,,
35,,,
36,,,
37,,,
38,,,
