턴,AI 답변,사용자 메세지,Target
11,,이 설계에서 참가자 수가 많지 않다면 어떤 식으로 조건을 나누는 게 현실적일까?,
12,"참가자 수가 많지 않다면 **집단 간 설계보다 반복측정 설계**가 현실적이야. 같은 참가자가 여러 조건을 모두 경험하게 하는 방식이야.

## 추천 설계

| 설계      | 방식              | 적합성            |
| ------- | --------------- | -------------- |
| 집단 간 설계 | 참가자를 조건별로 나눔    | 참가자 수가 많을 때 적합 |
| 반복측정 설계 | 한 참가자가 모든 조건 수행 | 참가자 수가 적을 때 적합 |

## 현실적인 조건 구성

### 1안: 2조건 반복측정

가장 단순하고 안정적인 방식이야.

| 조건          | 설명                |
| ----------- | ----------------- |
| 낮은 부담 시점 알림 | 문단 사이, 쉬운 문항 후 알림 |
| 높은 부담 시점 알림 | 어려운 문항 풀이 중 알림    |

**장점**: 참가자가 적어도 비교 가능
**단점**: 무알림 기준선이 없음

## 더 추천하는 구성

### 2안: 3조건 반복측정

| 조건          | 설명                 |
| ----------- | ------------------ |
| 무알림         | 기준 조건              |
| 낮은 부담 시점 알림 | 방해가 비교적 약한 시점      |
| 높은 부담 시점 알림 | 방해가 강할 것으로 예상되는 시점 |

이게 가장 해석이 좋아.
예를 들어 참가자 12명이라면, 12명 모두 세 조건을 경험하게 하면 돼.

## 주의할 점

반복측정 설계에서는 **순서 효과**가 생길 수 있어.
예를 들어 무알림 조건을 항상 먼저 하면, 뒤 조건에서 피로하거나 과제에 익숙해질 수 있어.

그래서 조건 순서를 섞어야 해.

| 참가자 그룹 | 조건 순서               |
| ------ | ------------------- |
| 그룹 A   | 무알림 → 낮은 부담 → 높은 부담 |
| 그룹 B   | 낮은 부담 → 높은 부담 → 무알림 |
| 그룹 C   | 높은 부담 → 무알림 → 낮은 부담 |

이렇게 하면 순서 효과를 어느 정도 줄일 수 있어.

## 추천 결론

참가자 수가 적다면 이렇게 잡는 게 현실적이야.

| 항목     | 추천                         |
| ------ | -------------------------- |
| 설계     | 반복측정 설계                    |
| 조건 수   | 3조건                        |
| 조건     | 무알림 / 낮은 부담 시점 / 높은 부담 시점  |
| 참가자 배정 | 모든 참가자가 세 조건 모두 수행         |
| 보완 장치  | 조건 순서 counterbalancing     |
| 분석     | 조건별 평균 비교 + 개인별 변화량 + 효과크기 |

보고서에는 이렇게 쓰면 돼.

> 본 연구는 제한된 참가자 수를 고려하여 반복측정 설계를 적용한다. 모든 참가자는 무알림, 낮은 부담 시점 알림, 높은 부담 시점 알림 조건을 모두 수행하며, 조건 제시 순서는 순서 효과를 줄이기 위해 참가자별로 다르게 배정한다.",,
13,,"within-subjects로 하면 순서 효과가 생길 것 같은데, 이걸 줄이려면 어떻게 해야 해?",
14,"within-subjects 설계에서 순서 효과를 줄이려면 핵심은 **조건 순서를 균형 있게 섞고, 과제를 동등하게 나누는 것**이야.

## 1. 조건 순서 counterbalancing

3조건이라면 가능한 순서는 6개야.

| 순서 유형 | 조건 순서                     |
| ----- | ------------------------- |
| 1     | 무알림 → 낮은 부담 알림 → 높은 부담 알림 |
| 2     | 무알림 → 높은 부담 알림 → 낮은 부담 알림 |
| 3     | 낮은 부담 알림 → 무알림 → 높은 부담 알림 |
| 4     | 낮은 부담 알림 → 높은 부담 알림 → 무알림 |
| 5     | 높은 부담 알림 → 무알림 → 낮은 부담 알림 |
| 6     | 높은 부담 알림 → 낮은 부담 알림 → 무알림 |

참가자를 이 6개 순서에 최대한 고르게 배정하면 돼.
예를 들어 12명이면 각 순서에 2명씩 배정.

## 2. 과제 난이도 균형 맞추기

조건마다 다른 독해 지문을 쓰면 지문 난이도 차이가 문제가 될 수 있어.

그래서:

| 방법            | 설명                        |
| ------------- | ------------------------- |
| 비슷한 길이의 지문 사용 | 단어 수, 문장 수 비슷하게           |
| 비슷한 난이도 문제 사용 | 쉬운 문제/추론 문제 비율 맞추기        |
| 사전 검토         | 연구자가 먼저 풀어보고 난이도 조정       |
| 조건별 지문 순서 섞기  | 특정 지문이 특정 조건에만 고정되지 않게 하기 |

중요한 건 **높은 부담 알림 조건이 어려워 보이는 이유가 알림 때문인지, 지문 때문인지** 구분되게 만드는 거야.

## 3. 연습 과제 제공

본 실험 전에 짧은 연습 과제를 주면, 초반 적응 효과를 줄일 수 있어.

예시:

> 본 과제와 유사한 짧은 연습 문항을 제공한 뒤, 참가자가 과제 방식에 익숙해진 후 본 실험을 시작한다.

## 4. 조건 사이 휴식 제공

피로 효과를 줄이려면 조건 사이에 짧은 휴식이 필요해.

예시:

| 조건 사이     | 휴식    |
| --------- | ----- |
| 독해 과제 1 후 | 2분 휴식 |
| 독해 과제 2 후 | 2분 휴식 |

너무 길 필요는 없고, 수업 프로젝트라면 1~3분 정도면 충분해.

## 5. 분석에서 순서 확인하기

가능하면 분석 단계에서 순서 효과도 간단히 확인하면 좋아.

예시:

| 확인 항목                         | 의미                    |
| ----------------------------- | --------------------- |
| 첫 번째 과제 vs 두 번째 과제 vs 세 번째 과제 | 시간이 갈수록 피로/학습 효과가 있는지 |
| 조건별 평균                        | 알림 타이밍 효과             |
| 개인별 변화량                       | 같은 사람 안에서 조건 차이가 있는지  |

## 추천 정리 문장

> 본 연구는 within-subjects 설계에서 발생할 수 있는 순서 효과를 줄이기 위해 조건 제시 순서를 counterbalancing하고, 조건별 독해 지문의 길이와 난이도를 유사하게 구성한다. 또한 본 실험 전 연습 과제를 제공하고 조건 사이에 짧은 휴식을 두어 학습 효과와 피로 효과를 최소화한다.",,
15,,이 실험에서 가장 조심해야 할 confound는 뭐가 있을까?,
16,"가장 조심해야 할 confound는 **알림 타이밍 효과와 과제 난이도 효과가 섞이는 것**이야.

즉, 높은 부담 시점 알림 조건에서 성과가 낮게 나왔을 때, 그 이유가 정말 **알림 타이밍** 때문인지, 아니면 그 조건에 배정된 **지문이나 문항이 원래 더 어려웠기 때문인지** 구분하기 어려울 수 있어.

| confound         | 왜 문제인가                                   | 줄이는 방법                                        |
| ---------------- | ---------------------------------------- | --------------------------------------------- |
| **과제/지문 난이도 차이** | 특정 조건의 성과 저하가 알림 때문이 아니라 지문 난이도 때문일 수 있음 | 지문 길이·난이도·문항 수를 맞추고, 지문도 조건에 counterbalancing |
| **조건 순서 효과**     | 뒤로 갈수록 피로하거나, 반대로 과제에 익숙해질 수 있음          | 조건 순서 counterbalancing, 연습 과제 제공              |
| **알림 내용 차이**     | 사회적 알림이 단순 알림보다 더 강하게 방해할 수 있음           | 모든 조건에서 알림 내용·길이·소리·진동을 동일하게 통제               |
| **알림 확인 여부**     | 어떤 참가자는 알림을 열어보고, 어떤 참가자는 무시할 수 있음       | 확인 허용 여부를 실험 규칙으로 고정하거나, 확인 여부를 기록            |
| **개인별 스마트폰 의존도** | 평소 알림에 민감한 사람이 더 크게 방해받을 수 있음            | 사전 설문으로 스마트폰 사용 습관/알림 민감도 측정                  |
| **기기·환경 차이**     | 화면 크기, 소리, 진동, 주변 소음이 집중에 영향             | 동일 기기 또는 동일 설정 사용, 조용한 환경 유지                  |
| **시간대/피로도**      | 참가자의 졸림, 피로, 실험 시간대가 수행에 영향              | 가능한 비슷한 시간대에 진행하거나 피로도 사전 체크                  |

핵심 confound를 하나만 꼽으면:

> **조건별 과제 난이도 차이**

그다음으로 중요한 건:

> **조건 순서 효과**

보고서에는 이렇게 쓰면 자연스러워.

> 본 연구에서 가장 중요한 잠재적 혼입변수는 조건별 과제 난이도 차이와 순서 효과이다. 이를 줄이기 위해 각 조건의 독해 지문 길이와 문항 난이도를 유사하게 구성하고, 지문과 조건의 배정을 참가자별로 다르게 배치한다. 또한 조건 제시 순서를 counterbalancing하여 학습 효과와 피로 효과가 특정 조건에 집중되지 않도록 한다.",,
17,,"참가자가 알림을 귀찮게 느끼는 정도도 결과에 영향을 줄 것 같은데, 이건 어떻게 다루면 좋을까?",
18,"맞아. **알림을 귀찮게 느끼는 정도**는 중요한 개인차 변수야. 같은 알림이라도 어떤 참가자는 크게 방해받고, 어떤 참가자는 거의 신경 쓰지 않을 수 있어.

## 변수로 다루는 방법

| 방식             | 설명                             | 추천도            |
| -------------- | ------------------------------ | -------------- |
| **사전 측정 통제변수** | 실험 전에 알림 민감도/짜증 정도를 설문으로 측정    | 가장 현실적         |
| **조절변수**       | 알림 타이밍 효과가 알림 민감도에 따라 달라지는지 확인 | 가능하면 좋음        |
| **집단 구분 변수**   | 민감도 높은 집단/낮은 집단으로 나누어 비교       | 참가자 수가 적으면 비추천 |
| **사후 해석 보조자료** | “왜 어떤 사람은 더 영향받았는가” 설명에 활용     | 수업 프로젝트에 적합    |

## 추천 방식

참가자 수가 많지 않다면 **사전 설문으로 측정하고, 결과 해석에 함께 사용하는 방식**이 좋아.

예시 문항:

| 문항                             | 척도   |
| ------------------------------ | ---- |
| 나는 과제 중 스마트폰 알림이 오면 쉽게 신경이 쓰인다 | 1~7점 |
| 나는 알림을 받으면 바로 확인하고 싶은 편이다      | 1~7점 |
| 반복적인 알림은 나에게 짜증이나 부담을 준다       | 1~7점 |
| 알림을 무시하고 과제에 집중하는 것이 어렵다       | 1~7점 |

이 문항들을 평균 내서 **알림 민감도 점수**로 만들 수 있어.

## 분석에서 쓰는 방법

참가자 수가 적다면 복잡한 통계보다 이렇게 보면 돼.

| 분석 방식              | 해석                              |
| ------------------ | ------------------------------- |
| 알림 민감도와 복귀 시간의 상관  | 민감한 사람이 알림 후 복귀가 늦는가            |
| 알림 민감도와 정답률 변화량 비교 | 민감한 사람이 고부담 알림 조건에서 더 성과가 떨어지는가 |
| 개인별 그래프 확인         | 특정 참가자의 민감도가 결과 패턴과 연결되는가       |

예를 들어:

> 알림 민감도가 높은 참가자는 높은 부담 시점 알림 조건에서 알림 후 복귀 시간이 더 길게 나타나는 경향이 있었다.

## 보고서 표현

> 본 연구에서는 알림에 대한 개인차가 결과에 영향을 줄 수 있다고 보고, 실험 전 알림 민감도와 알림에 대한 짜증 정도를 측정한다. 이 점수는 주요 독립변수로 조작하지는 않지만, 알림 타이밍 효과를 해석할 때 보조 변수로 활용한다.

핵심은 **통제하려고 없애는 변수**라기보다, **개인차를 설명해주는 보조 변수**로 다루는 게 자연스러워.",,
19,,마지막으로 이 연구 설계를 proposal에 넣을 수 있는 문단 형태로 정리해줘.,
20,"본 연구는 모바일 알림의 **발생 타이밍**이 사용자의 집중도와 과제 수행에 미치는 영향을 검토하고자 한다. 특히 알림의 빈도 자체보다 알림이 과제의 어느 시점에 발생하는지가 주의 흐름을 방해하는 핵심 요인일 수 있다고 보고, **낮은 인지부하 시점의 알림**과 **높은 인지부하 시점의 알림**이 수행 결과에 서로 다른 영향을 미치는지 확인한다. 이를 위해 참가자는 짧은 독해 과제를 수행하며, 실험 조건은 **무알림 조건, 낮은 부담 시점 알림 조건, 높은 부담 시점 알림 조건**으로 구성한다.

참가자 수가 제한될 가능성을 고려하여 본 연구는 **within-subjects 설계**를 적용한다. 모든 참가자는 세 조건을 모두 경험하되, 조건 제시 순서는 counterbalancing하여 학습 효과나 피로 효과가 특정 조건에 치우치지 않도록 한다. 또한 조건별 독해 지문의 길이, 난이도, 문항 수를 유사하게 구성하고, 지문과 조건의 배정을 참가자별로 다르게 배치하여 과제 난이도 차이가 알림 타이밍 효과와 섞이지 않도록 통제한다. 본 실험 전에는 간단한 연습 과제를 제공하고, 조건 사이에는 짧은 휴식을 둔다.

본 연구의 독립변수는 **모바일 알림 발생 타이밍**이며, 종속변수는 과제 수행 정확도, 문항별 반응 시간, 전체 과제 완료 시간, 알림 후 과제 복귀 시간 등이다. 집중도는 직접 측정하기 어렵기 때문에, 본 연구에서는 정답률, 반응 시간, 알림 후 다음 클릭·스크롤·응답까지 걸린 시간, 과제 이탈 여부와 같은 행동 지표를 통해 간접적으로 측정한다. 추가로 실험 후 주관적 집중도와 인지부하를 설문으로 측정하여 행동 지표와 함께 해석한다.

또한 참가자가 알림을 귀찮게 느끼는 정도는 결과에 영향을 줄 수 있는 개인차 요인으로 다룬다. 이를 위해 실험 전 알림 민감도와 알림에 대한 짜증 정도를 간단한 Likert 척도 문항으로 측정하고, 주요 결과를 해석할 때 보조 변수로 활용한다. 이를 통해 단순히 알림 타이밍의 평균 효과만 보는 것이 아니라, 어떤 참가자가 알림에 더 민감하게 반응하는지도 함께 살펴볼 수 있다.

따라서 본 연구는 모바일 알림이 집중을 방해하는지의 여부를 넘어서, **알림이 언제 발생할 때 더 큰 방해 효과를 가지는지**를 실험적으로 탐색한다는 점에서 의의가 있다. 특히 학습이나 독해와 같이 지속적인 주의가 필요한 상황에서 알림 설계가 사용자 경험과 수행 효율에 어떤 영향을 미치는지 이해하는 데 기여할 수 있다.",,
21,,,
22,,,
23,,,
24,,,
25,,,
26,,,
27,,,
28,,,
29,,,
30,,,
31,,,
32,,,
33,,,
34,,,
35,,,
36,,,
37,,,
38,,,
